ISSN,Title,Published List Price,Final Net Price,Difference,ALP
0001-4575,Accident Analysis & Prevention,4246.00,4520.33,274.33,6.46
1359-6454,Acta Materialia,6247.00,6650.62,403.62,6.46
0003-2670,Analytica Chimica Acta,16105.00,17145.52,1040.52,6.46
0003-3472,Animal Behaviour,1995.00,2123.89,128.89,6.46
0195-6663,Appetite,2766.00,2944.70,178.70,6.46
0306-2619,Applied Energy,7304.00,7775.90,471.90,6.46
0143-6228,Applied Geography,1758.00,1871.58,113.58,6.46
0005-7967,Behaviour Research and Therapy,3916.00,4169.01,253.01,6.46
0166-4328,Behavioural Brain Research,12665.00,13483.25,818.25,6.46
0006-291X,Biochemical and Biophysical Research Communications,14921.00,15885.02,964.02,6.46
0006-3207,Biological Conservation,6952.00,7401.16,449.16,6.46
0301-0511,Biological Psychology,3677.00,3914.56,237.56,6.46
0960-894X,Bioorganic & Medicinal Chemistry Letters,7915.00,8426.37,511.37,6.46
0006-3495,Biophysical Journal,2332.00,2430.23,98.23,4.21
0960-8524,Bioresource Technology,10364.00,11033.60,669.60,6.46
0956-5663,Biosensors and Bioelectronics,5647.00,6011.84,364.84,6.46
1740-1445,Body Image,972.00,1034.81,62.81,6.46
0144-8617,Carbohydrate Polymers,8057.00,8577.56,520.56,6.46
0008-6223,Carbon,8666.00,9225.90,559.90,6.46
1934-5909,Cell Stem Cell,2039.00,1578.99,-460.01,-22.56
2405-4712,Cell Systems,1911.00,2430.23,519.23,27.17
0009-2541,Chemical Geology,9200.00,9794.39,594.39,6.46
0009-2614,Chemical Physics Letters,12797.00,13623.78,826.78,6.46
0045-6535,Chemosphere,12295.00,13089.36,794.36,6.46
0190-7409,Children and Youth Services Review,3255.00,3465.30,210.30,6.46
0272-7358,Clinical Psychology Review,3430.00,3651.61,221.61,6.46
0010-0277,Cognition,3868.00,4117.91,249.91,6.46
0263-8223,Composite Structures,10332.00,10999.53,667.53,6.46
1359-835X,Composites Part A: Applied Science and Manufacturing,6270.00,6675.10,405.10,6.46
0266-3538,Composites Science and Technology,9884.00,10522.58,638.58,6.46
0927-0256,Computational Materials Science,3927.00,4180.71,253.71,6.46
0045-7825,Computer Methods in Applied Mechanics and Engineering,6255.00,6659.13,404.13,6.46
0360-1315,Computers & Education,4298.00,4575.69,277.69,6.46
0747-5632,Computers in Human Behavior,3660.00,3896.47,236.47,6.46
0361-476X,Contemporary Educational Psychology,1597.00,1700.19,103.19,6.46
0010-8545,Coordination Chemistry Reviews,11894.00,12662.45,768.45,6.46
2352-250X,Current Opinion in Psychology,2715.00,2890.41,175.41,6.46
0967-0645,Deep-Sea Research Part II: Topical Studies in Oceanography,7497.00,7981.37,484.37,6.46
0012-1606,Developmental Biology,9215.00,9810.37,595.37,6.46
0885-2006,Early Childhood Research Quarterly,1132.00,1205.14,73.14,6.46
0012-821X,Earth and Planetary Science Letters,9569.00,10187.23,618.23,6.46
0921-8009,Ecological Economics,4325.00,4604.43,279.43,6.46
0272-7757,Economics of Education Review,2115.00,2251.65,136.65,6.46
0147-6513,Ecotoxicology and Environmental Safety,2855.00,3039.45,184.45,6.46
0013-4686,Electrochimica Acta,12464.00,13269.28,805.28,6.46
0360-5442,Energy,6385.00,6797.52,412.52,6.46
0378-7788,Energy and Buildings,4661.00,4962.14,301.14,6.46
0196-8904,Energy Conversion and Management,9447.00,10057.35,610.35,6.46
0301-4215,Energy Policy,5654.00,6019.29,365.29,6.46
0269-7491,Environmental Pollution,10355.00,11024.02,669.02,6.46
0308-8146,Food Chemistry,13213.00,14066.66,853.66,6.46
0016-7037,Geochimica et Cosmochimica Acta,6362.00,6773.04,411.04,6.46
0959-3780,Global Environmental Change,2071.00,2204.81,133.81,6.46
0740-624X,Government Information Quarterly,1344.00,1430.83,86.83,6.46
1353-8292,Health & Place,1542.00,1641.63,99.63,6.46
0018-506X,Hormones and Behavior,3008.00,3202.34,194.34,6.46
0306-4573,Information Processing & Management,3694.00,3932.67,238.67,6.46
0141-8130,International Journal of Biological Macromolecules,4901.00,5217.64,316.64,6.46
0738-0593,International Journal of Educational Development,2355.00,2507.15,152.15,6.46
0883-0355,International Journal of Educational Research,1557.00,1657.60,100.60,6.46
0017-9310,International Journal of Heat and Mass Transfer,13558.00,14433.95,875.95,6.46
0278-4319,International Journal of Hospitality Management,2040.00,2171.80,131.80,6.46
0360-3199,International Journal of Hydrogen Energy,5637.00,6001.20,364.20,6.46
0020-7489,International Journal of Nursing Studies,3531.00,3759.13,228.13,6.46
0167-8760,International Journal of Psychophysiology,5562.00,5921.35,359.35,6.46
0165-4101,Journal of Accounting and Economics,2861.00,3045.84,184.84,6.46
0925-8388,Journal of Alloys and Compounds,17983.00,19144.84,1161.84,6.46
0193-3973,Journal of Applied Developmental Psychology,1210.00,1288.18,78.18,6.46
0148-2963,Journal of Business Research,4935.00,5253.84,318.84,6.46
0021-9673,Journal of Chromatography A,19644.00,20913.16,1269.16,6.46
0959-6526,Journal of Cleaner Production,3163.00,3367.35,204.35,6.46
0021-9797,Journal of Colloid and Interface Science,10823.00,11522.26,699.26,6.46
0021-9991,Journal of Computational Physics,7356.00,7831.26,475.26,6.46
0047-2352,Journal of Criminal Justice,2544.00,2708.37,164.37,6.46
0167-2681,Journal of Economic Behavior & Organization,5237.00,5575.35,338.35,6.46
0301-4797,Journal of Environmental Management,3580.00,3811.29,231.29,6.46
0022-0965,Journal of Experimental Child Psychology,3346.00,3562.19,216.19,6.46
0022-0981,Journal of Experimental Marine Biology and Ecology,9302.00,9902.98,600.98,6.46
0022-1031,Journal of Experimental Social Psychology,2571.00,2737.10,166.10,6.46
0304-405X,Journal of Financial Economics,6011.00,6399.36,388.36,6.46
0304-3894,Journal of Hazardous Materials,10103.00,10755.73,652.73,6.46
0047-2484,Journal of Human Evolution,3364.00,3581.34,217.34,6.46
0022-1694,Journal of Hydrology,13320.00,14180.59,860.59,6.46
1090-7807,Journal of Magnetic Resonance,7061.00,7517.19,456.19,6.46
0304-8853,Journal of Magnetism and Magnetic Materials,11535.00,12280.25,745.25,6.46
0022-2836,Journal of Molecular Biology,5204.00,5540.22,336.22,6.46
0378-7753,Journal of Power Sources,11728.00,12485.73,757.73,6.46
0047-2727,Journal of Public Economics,5338.00,5682.88,344.88,6.46
1478-4092,Journal of Purchasing and Supply Management,1252.00,1332.89,80.89,6.46
0092-6566,Journal of Research in Personality,1635.00,1740.63,105.63,6.46
0022-4405,Journal of School Psychology,900.00,958.14,58.14,6.46
1060-3743,Journal of Second Language Writing,953.00,1014.58,61.58,6.46
0022-4596,Journal of Solid State Chemistry,10017.00,10664.18,647.18,6.46
0022-474X,Journal of Stored Products Research,2623.00,2792.47,169.47,6.46
1047-8477,Journal of Structural Biology,2834.00,3017.99,183.99,6.49
0022-5193,Journal of Theorectical Biology,9226.00,9822.07,596.07,6.46
0001-8791,Journal of Vocational Behavior,2494.00,2655.13,161.13,6.46
0169-2046,Landscape and Urban Planning,4384.00,4667.24,283.24,6.46
0271-5309,Language & Communication,1379.00,1468.09,89.09,6.46
0388-0001,Language Sciences,1904.00,2027.02,123.02,6.46
1041-6080,Learning and Individual Differences,1026.00,1092.30,66.30,6.46
0959-4752,Learning and Instruction,1607.00,1710.82,103.82,6.46
0740-8188,Library & Information Science Research,998.00,1062.47,64.47,6.46
0024-3841,Lingua,2481.00,2641.30,160.30,6.46
0898-5898,Linguistics and Education,773.00,822.94,49.94,6.46
0264-8172,Marine and Petroleum Geology,4985.00,5307.07,322.07,6.46
0025-326X,Marine Pollution Bulletin,3980.00,4237.14,257.14,6.46
0928-4931,Materials Science and Engineering: C,5666.00,6032.07,366.07,6.46
1369-7021,Materials Today,951.00,1012.44,61.44,6.46
1055-7903,Molecular Phylogenetics and Evolution,2168.00,2308.08,140.08,6.46
0028-3908,Neuropharmacology,8765.00,9331.28,566.28,6.46
0028-3932,Neuropsychologia,7321.00,7794.00,473.00,6.46
0149-7634,Neuroscience & Biobehavioral Reviews,5161.00,5494.45,333.45,6.46
0304-3940,Neuroscience Letters,13565.00,14441.42,876.42,6.46
0168-9002,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",11217.00,11941.70,724.70,6.46
0964-5691,Ocean & Coastal Management,3727.00,3967.80,240.80,6.46
0146-6380,Organic Geochemistry,6500.00,6919.96,419.96,6.46
0749-5978,Organizational Behavior and Human Decision Processes,3265.00,3475.94,210.94,6.46
0031-0182,"Palaeogeography, Palaeoclimatology, Palaeoecology",9063.00,9648.55,585.55,6.46
0191-8869,Personality and Individual Differences,6454.00,6870.97,416.97,6.46
0921-4526,Physica B: Condensed Matter,6620.00,7047.71,427.71,6.46
0921-4534,Physica C: Superconductivity and its Applications,5240.00,5578.55,338.55,6.46
0032-3861,Polymer,16713.00,17792.79,1079.79,6.46
0278-5846,Progress in Neuro-Psychopharmacology & Biological Psychiatry,4822.00,5133.55,311.55,6.46
0079-6700,Progress in Polymer Science,5694.00,6061.88,367.88,6.46
1469-0292,Psychology of Sport and Exercise,1286.00,1369.09,83.09,6.46
0034-4257,Remote Sensing of Environment,7032.00,7486.33,454.33,6.46
1364-0321,Renewable & Sustainable Energy Reviews,3774.00,4017.83,243.83,6.46
0960-1481,Renewable Energy,5778.00,6151.30,373.30,6.46
1750-9467,Research in Autism Spectrum Disorders,829.00,882.56,53.56,6.46
0891-4222,Research in Developmental Disabilities,1787.00,1902.46,115.46,6.46
0048-9697,Science of the Total Environment,14812.00,15768.98,956.98,6.46
0277-9536,Social Science & Medicine,10913.00,11618.07,705.07,6.46
0049-089X,Social Science Research,1584.00,1686.34,102.34,6.46
0167-2738,Solid State Ionics,10503.00,11181.58,678.58,6.46
1441-3523,Sport Management Review,648.00,689.86,41.86,6.46
0346-251X,System,1474.00,1569.24,95.24,6.46
0039-9140,Talanta,9186.00,9779.49,593.49,6.46
0742-051X,Teaching and Teacher Education,3050.00,3247.06,197.06,6.46
0040-4020,Tetrahedron,14115.00,15026.95,911.95,6.46
0040-4039,Tetrahedron Letters,21621.00,23017.89,1396.89,6.46
0197-4556,The Arts in Psychotherapy,1830.00,1948.24,118.24,6.46
1096-7516,The Internet and Higher Education,934.00,994.35,60.35,6.46
0099-1333,The Journal of Academic Librarianship,811.00,863.40,52.40,6.46
1048-9843,The Leadership Quarterly,1389.00,1478.74,89.74,6.46
0261-5177,Tourism Management,3497.00,3722.93,225.93,6.46
0968-090X,Transportation Research Part C: Emerging Technologies,2558.00,2723.27,165.27,6.46
0169-5347,Trends in Ecology & Evolution,4363.00,4644.89,281.89,6.46
0043-1354,Water Research,11369.00,12103.53,734.53,6.46
0305-750X,World Development,5452.00,5804.24,352.24,6.46
