ISSN,Title,Published List Price,"Final Net
Price",Difference,ALP
0001-4575,Accident Analysis & Prevention,4246,4555.72,309.72,7.3
1742-7061,Acta Biomaterialia,2109,2262.84,153.84,7.3
0001-8686,Advances in Colloid and Interface Science,5188,5566.43,378.43,7.3
0001-8708,Advances in Mathematics,4421,4743.48,322.48,7.3
0309-1708,Advances in Water Resources,4040,4334.69,294.69,7.3
1359-1789,Aggression and Violent Behavior,1641,1760.7,119.7,7.3
0168-1923,Agricultural and Forest Meteorology,6580,7059.97,479.97,7.3
0167-8809,"Agriculture, Ecosystems & Environment",5991,6428,437,7.3
1075-9964,Anaerobe,1189,1275.73,86.73,7.3
FS00-5138,Analytica Chimica Acta with Vibrational Spectroscopy,18425,19768.99,1343.99,7.3
0003-2697,Analytical Biochemistry,8943,9595.33,652.33,7.3
0003-3472,Animal Behaviour,1995,2140.52,145.52,7.3
0940-9602,Annals of Anatomy,1794,1924.86,130.86,7.3
0003-4916,Annals of Physics,3385,3631.91,246.91,7.3
0169-1317,Applied Clay Science,2861,3069.7,208.7,7.3
0306-2619,Applied Energy,7304,7836.78,532.78,7.3
0003-6870,Applied Ergonomics,2499,2681.28,182.28,7.3
0883-2927,Applied Geochemistry,2866,3075.05,209.05,7.3
0143-6228,Applied Geography,1758,1886.23,128.23,7.3
0307-904X,Applied Mathematical Modelling,3739,4011.73,272.73,7.3
0096-3003,Applied Mathematics and Computation,10000,10729.43,729.43,7.3
0969-8043,Applied Radiation and Isotopes,6573,7052.46,479.46,7.3
1568-4946,Applied Soft Computing,1412,1514.99,102.99,7.3
0929-1393,Applied Soil Ecology,3168,3399.08,231.08,7.3
0169-4332,Applied Surface Science,18572,19926.71,1354.71,7.3
1359-4311,Applied Thermal Engineering,5883,6312.12,429.12,7.3
0003-9861,Archives of Biochemistry and Biophysics,7896,8471.96,575.96,7.3
0169-8095,Atmospheric Research,4488,4815.37,327.37,7.3
0926-5805,Automation in Construction,1887,2024.64,137.64,7.3
0005-7894,Behavior Therapy,660,708.14,48.14,7.3
0005-7967,Behaviour Research and Therapy,3916,4201.64,285.64,7.3
0006-291X,Biochemical and Biophysical Research Communications,14921,16009.39,1088.39,7.3
0006-2952,Biochemical Pharmacology,12774,13705.79,931.79,7.3
0005-2728,Biochimica et Biophysica Acta: Bioenergetics,5703,6119,416,7.3
