ISSN,Title,Published List Price,Final Net Price,Difference,ALP
0307-904X,Applied Mathematical Modelling,"3,739.00 ","3,196.85 ",-542.16,14.5
0012-365X,Discrete Mathematics,"3,910.00 ","3,343.05 ",-566.95,14.5
0001-4575,Accident Analysis & Prevention,"4,246.00 ","3,630.33 ",-615.67,14.5
1742-7061,Acta Biomaterialia,"2,109.00 ","1,803.20 ",-305.81,14.5
1359-6454,Acta Materialia,"6,247.00 ","5,341.19 ",-905.82,14.5
2214-8604,Additive Manufacturing,737.00 ,630.14 ,-106.87,14.5
0169-409X,Advanced Drug Delivery Reviews,"11,283.00 ","9,646.97 ","-1,636.04",14.5
0001-8686,Advances in Colloid and Interface Science,"5,188.00 ","4,435.74 ",-752.26,14.5
0168-1923,Agricultural and Forest Meteorology,"6,580.00 ","5,625.90 ",-954.10,14.5
0308-521X,Agricultural Systems,"6,298.00 ","5,384.79 ",-913.21,14.5
0378-3774,Agricultural Water Management,"4,306.00 ","3,681.63 ",-624.37,14.5
0167-8809,"Agriculture, Ecosystems & Environment","5,991.00 ","5,122.31 ",-868.70,14.5
0002-9378,American Journal of Obstetrics & Gynecology,"2,229.00 ","1,669.82 ",-559.19,25.1
0749-3797,American Journal of Preventive Medicine,"1,532.00 ","1,206.41 ",-325.60,21.3
2213-6657,Analytic Methods in Accident Research,515.00 ,440.33 ,-74.68,14.5
0003-2670,Analytica Chimica Acta,"16,105.00 ","13,769.78 ","-2,335.23",14.5
0003-2697,Analytical Biochemistry: Methods in the Biological Sciences,"8,943.00 ","7,646.27 ","-1,296.74",14.5
0003-3472,Animal Behaviour,"1,995.00 ","1,705.73 ",-289.28,14.5
0377-8401,Animal Feed Science and Technology,"6,315.00 ","5,399.33 ",-915.68,14.5
0378-4320,Animal Reproduction Science,"5,649.00 ","4,829.90 ",-819.11,14.5
0160-7383,Annals of Tourism Research,"2,049.00 ","1,751.90 ",-297.11,14.5
0195-6663,Appetite,"2,766.00 ","2,364.93 ",-401.07,14.5
0168-1591,Applied Animal Behaviour Science,"6,377.00 ","5,452.34 ",-924.67,14.5
0926-860X,Applied Catalysis A: General,"15,211.00 ","13,005.41 ","-2,205.60",14.5
0926-3373,Applied Catalysis B: Environmental,"7,153.00 ","6,115.82 ","-1,037.19",14.5
0306-2619,Applied Energy,"7,304.00 ","6,244.92 ","-1,059.08",14.5
0003-6870,Applied Ergonomics,"2,499.00 ","2,136.65 ",-362.36,14.5
0143-6228,Applied Geography,"1,758.00 ","1,503.09 ",-254.91,14.5
1568-4946,Applied Soft Computing,"1,412.00 ","1,207.26 ",-204.74,14.5
0929-1393,Applied Soil Ecology,"3,168.00 ","2,708.64 ",-459.36,14.5
0169-4332,Applied Surface Science,"18,572.00 ","15,879.06 ","-2,692.94",14.5
1359-4311,Applied Thermal Engineering,"5,883.00 ","5,029.97 ",-853.04,14.5
0044-8486,Aquaculture,"10,106.00 ","8,640.63 ","-1,465.37",14.5
1352-2310,Atmospheric Environment,"13,730.00 ","11,739.15 ","-1,990.85",14.5
0005-1098,Automatica,"6,253.00 ","5,346.32 ",-906.69,14.5
0926-5805,Automation in Construction,"1,887.00 ","1,613.39 ",-273.62,14.5
1439-1791,Basic and Applied Ecology,"1,141.00 ",975.56 ,-165.45,14.5
0005-2736,BBA Biomembranes,"8,093.00 ","6,919.52 ","-1,173.49",14.5
0167-4889,BBA Molecular Cell Research,"6,044.00 ","5,167.62 ",-876.38,14.5
0166-4328,Behavioural Brain Research,"12,665.00 ","10,828.58 ","-1,836.43",14.5
0006-291X,Biochemical and Biophysical Research Communications,"14,921.00 ","12,757.46 ","-2,163.55",14.5
1369-703X,Biochemical Engineering Journal,"3,569.00 ","3,051.50 ",-517.51,14.5
0006-3207,Biological Conservation,"6,952.00 ","5,943.96 ","-1,008.04",14.5
1049-9644,Biological Control,"1,795.00 ","1,534.73 ",-260.28,14.5
0006-3223,Biological Psychiatry,"4,732.00 ","3,845.79 ",-886.21,18.7
0961-9534,Biomass & Bioenergy,"4,343.00 ","3,713.27 ",-629.74,14.5
0142-9612,Biomaterials,"12,497.00 ","10,684.94 ","-1,812.07",14.5
0968-0896,Bioorganic & Medicinal Chemistry,"6,174.00 ","5,278.77 ",-895.23,14.5
0960-894X,Bioorganic & Medicinal Chemistry Letters,"7,915.00 ","6,767.33 ","-1,147.68",14.5
0960-8524,Bioresource Technology,"10,364.00 ","8,861.22 ","-1,502.78",14.5
0956-5663,Biosensors and Bioelectronics,"5,647.00 ","4,828.19 ",-818.82,14.5
1537-5110,Biosystems Engineering,"2,052.00 ","1,754.46 ",-297.54,14.5
0734-9750,Biotechnology Advances,"4,149.00 ","3,547.40 ",-601.61,14.5
1740-1445,Body Image,972.00 ,831.06 ,-140.94,14.5
0006-8993,Brain Research,"11,522.00 ","9,851.31 ","-1,670.69",14.5
0360-1323,Building and Environment,"5,032.00 ","4,302.36 ",-729.64,14.5
0007-6813,Business Horizons,753.00 ,643.82 ,-109.19,14.5
0144-8617,Carbohydrate Polymers,"8,057.00 ","6,888.74 ","-1,168.27",14.5
0008-6223,Carbon,"8,666.00 ","7,409.43 ","-1,256.57",14.5
0920-5861,Catalysis Today,"11,303.00 ","9,664.07 ","-1,638.94",14.5
0341-8162,CATENA,"3,580.00 ","3,060.90 ",-519.10,14.5
0958-9465,Cement and Concrete Composites,"3,312.00 ","2,831.76 ",-480.24,14.5
0008-8846,Cement and Concrete Research,"6,234.00 ","5,330.07 ",-903.93,14.5
0272-8842,Ceramics International,"5,119.00 ","4,376.75 ",-742.26,14.5
1385-8947,Chemical Engineering Journal,"7,471.00 ","6,387.71 ","-1,083.30",14.5
0263-8762,Chemical Engineering Research and Design,"3,496.00 ","2,989.08 ",-506.92,14.5
0009-2509,Chemical Engineering Science,"12,813.00 ","10,955.12 ","-1,857.89",14.5
0009-2614,Chemical Physics Letters,"12,797.00 ","10,941.44 ","-1,855.57",14.5
0045-6535,Chemosphere,"12,295.00 ","10,512.23 ","-1,782.78",14.5
0145-2134,Child Abuse & Neglect,"3,945.00 ","3,372.98 ",-572.03,14.5
0190-7409,Children and Youth Services Review,"3,255.00 ","2,783.03 ",-471.98,14.5
0009-8981,Clinica Chimica Acta,"11,828.00 ","10,112.94 ","-1,715.06",14.5
1388-2457,Clinical Neurophysiology,"3,077.00 ","2,630.84 ",-446.17,14.5
0165-232X,Cold Regions Science and Technology,"3,074.00 ","2,628.27 ",-445.73,14.5
0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"15,322.00 ","13,100.31 ","-2,221.69",14.5
0010-2180,Combustion and Flame,"3,903.00 ","3,337.07 ",-565.94,14.5
0263-8223,Composite Structures,"10,332.00 ","8,833.86 ","-1,498.14",14.5
1359-8368,Composites Part B: Engineering,"4,674.00 ","3,996.27 ",-677.73,14.5
0266-3538,Composites Science and Technology,"9,884.00 ","8,450.82 ","-1,433.18",14.5
0927-0256,Computational Materials Science,"3,927.00 ","3,357.59 ",-569.42,14.5
