ISSN,Title,Published List Price,Final Net Price,Difference,ALP
0307-904X,Applied Mathematical Modelling,3739.00,3196.85,-542.16,14.5
0012-365X,Discrete Mathematics,3910.00,3343.05,-566.95,14.5
0001-4575,Accident Analysis & Prevention,4246.00,3630.33,-615.67,14.5
1742-7061,Acta Biomaterialia,2109.00,1803.20,-305.81,14.5
1359-6454,Acta Materialia,6247.00,5341.19,-905.82,14.5
2214-8604,Additive Manufacturing,737.00,630.14,-106.87,14.5
0169-409X,Advanced Drug Delivery Reviews,11283.00,9646.97,"-1,636.04",14.5
0001-8686,Advances in Colloid and Interface Science,5188.00,4435.74,-752.26,14.5
0168-1923,Agricultural and Forest Meteorology,6580.00,5625.90,-954.10,14.5
0308-521X,Agricultural Systems,6298.00,5384.79,-913.21,14.5
0378-3774,Agricultural Water Management,4306.00,3681.63,-624.37,14.5
0167-8809,"Agriculture, Ecosystems & Environment",5991.00,5122.31,-868.70,14.5
0002-9378,American Journal of Obstetrics & Gynecology,2229.00,1669.82,-559.19,25.1
0749-3797,American Journal of Preventive Medicine,1532.00,1206.41,-325.60,21.3
2213-6657,Analytic Methods in Accident Research,515.00,440.33,-74.68,14.5
0003-2670,Analytica Chimica Acta,16105.00,13769.78,"-2,335.23",14.5
0003-2697,Analytical Biochemistry: Methods in the Biological Sciences,8943.00,7646.27,"-1,296.74",14.5
0003-3472,Animal Behaviour,1995.00,1705.73,-289.28,14.5
0377-8401,Animal Feed Science and Technology,6315.00,5399.33,-915.68,14.5
0378-4320,Animal Reproduction Science,5649.00,4829.90,-819.11,14.5
0160-7383,Annals of Tourism Research,2049.00,1751.90,-297.11,14.5
0195-6663,Appetite,2766.00,2364.93,-401.07,14.5
0168-1591,Applied Animal Behaviour Science,6377.00,5452.34,-924.67,14.5
0926-860X,Applied Catalysis A: General,15211.00,13005.41,"-2,205.60",14.5
0926-3373,Applied Catalysis B: Environmental,7153.00,6115.82,"-1,037.19",14.5
0306-2619,Applied Energy,7304.00,6244.92,"-1,059.08",14.5
0003-6870,Applied Ergonomics,2499.00,2136.65,-362.36,14.5
0143-6228,Applied Geography,1758.00,1503.09,-254.91,14.5
1568-4946,Applied Soft Computing,1412.00,1207.26,-204.74,14.5
0929-1393,Applied Soil Ecology,3168.00,2708.64,-459.36,14.5
0169-4332,Applied Surface Science,18572.00,15879.06,"-2,692.94",14.5
1359-4311,Applied Thermal Engineering,5883.00,5029.97,-853.04,14.5
0044-8486,Aquaculture,10106.00,8640.63,"-1,465.37",14.5
1352-2310,Atmospheric Environment,13730.00,11739.15,"-1,990.85",14.5
0005-1098,Automatica,6253.00,5346.32,-906.69,14.5
0926-5805,Automation in Construction,1887.00,1613.39,-273.62,14.5
1439-1791,Basic and Applied Ecology,1141.00,975.56,-165.45,14.5
0005-2736,BBA Biomembranes,8093.00,6919.52,"-1,173.49",14.5
0167-4889,BBA Molecular Cell Research,6044.00,5167.62,-876.38,14.5
0166-4328,Behavioural Brain Research,12665.00,10828.58,"-1,836.43",14.5
0006-291X,Biochemical and Biophysical Research Communications,14921.00,12757.46,"-2,163.55",14.5
1369-703X,Biochemical Engineering Journal,3569.00,3051.50,-517.51,14.5
0006-3207,Biological Conservation,6952.00,5943.96,"-1,008.04",14.5
1049-9644,Biological Control,1795.00,1534.73,-260.28,14.5
0006-3223,Biological Psychiatry,4732.00,3845.79,-886.21,18.7
0961-9534,Biomass & Bioenergy,4343.00,3713.27,-629.74,14.5
0142-9612,Biomaterials,12497.00,10684.94,"-1,812.07",14.5
0968-0896,Bioorganic & Medicinal Chemistry,6174.00,5278.77,-895.23,14.5
0960-894X,Bioorganic & Medicinal Chemistry Letters,7915.00,6767.33,"-1,147.68",14.5
0960-8524,Bioresource Technology,10364.00,8861.22,"-1,502.78",14.5
0956-5663,Biosensors and Bioelectronics,5647.00,4828.19,-818.82,14.5
1537-5110,Biosystems Engineering,2052.00,1754.46,-297.54,14.5
0734-9750,Biotechnology Advances,4149.00,3547.40,-601.61,14.5
1740-1445,Body Image,972.00,831.06,-140.94,14.5
0006-8993,Brain Research,11522.00,9851.31,"-1,670.69",14.5
0360-1323,Building and Environment,5032.00,4302.36,-729.64,14.5
0007-6813,Business Horizons,753.00,643.82,-109.19,14.5
0144-8617,Carbohydrate Polymers,8057.00,6888.74,"-1,168.27",14.5
0008-6223,Carbon,8666.00,7409.43,"-1,256.57",14.5
0920-5861,Catalysis Today,11303.00,9664.07,"-1,638.94",14.5
0341-8162,CATENA,3580.00,3060.90,-519.10,14.5
0958-9465,Cement and Concrete Composites,3312.00,2831.76,-480.24,14.5
0008-8846,Cement and Concrete Research,6234.00,5330.07,-903.93,14.5
0272-8842,Ceramics International,5119.00,4376.75,-742.26,14.5
1385-8947,Chemical Engineering Journal,7471.00,6387.71,"-1,083.30",14.5
0263-8762,Chemical Engineering Research and Design,3496.00,2989.08,-506.92,14.5
0009-2509,Chemical Engineering Science,12813.00,10955.12,"-1,857.89",14.5
0009-2614,Chemical Physics Letters,12797.00,10941.44,"-1,855.57",14.5
0045-6535,Chemosphere,12295.00,10512.23,"-1,782.78",14.5
0145-2134,Child Abuse & Neglect,3945.00,3372.98,-572.03,14.5
0190-7409,Children and Youth Services Review,3255.00,2783.03,-471.98,14.5
0009-8981,Clinica Chimica Acta,11828.00,10112.94,"-1,715.06",14.5
1388-2457,Clinical Neurophysiology,3077.00,2630.84,-446.17,14.5
0165-232X,Cold Regions Science and Technology,3074.00,2628.27,-445.73,14.5
0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,15322.00,13100.31,"-2,221.69",14.5
0010-2180,Combustion and Flame,3903.00,3337.07,-565.94,14.5
0263-8223,Composite Structures,10332.00,8833.86,"-1,498.14",14.5
1359-8368,Composites Part B: Engineering,4674.00,3996.27,-677.73,14.5
0266-3538,Composites Science and Technology,9884.00,8450.82,"-1,433.18",14.5
0927-0256,Computational Materials Science,3927.00,3357.59,-569.42,14.5
0169-2607,Computer Methods and Programs in Biomedicine,3900.00,3334.50,-565.50,14.5
0045-7825,Computer Methods in Applied Mechanics and Engineering,6255.00,5348.03,-906.98,14.5
0010-4655,Computer Physics Communications,6225.00,5322.38,-902.63,14.5
0360-1315,Computers & Education,4298.00,3674.79,-623.21,14.5
0045-7930,Computers & Fluids,6100.00,5215.50,-884.50,14.5
0305-0548,Computers & Operations Research,7164.00,6125.22,"-1,038.78",14.5
0045-7949,Computers & Structures,10243.00,8757.77,"-1,485.24",14.5
0168-1699,Computers and Electronics in Agriculture,3508.00,2999.34,-508.66,14.5
0747-5632,Computers in Human Behavior,3660.00,3129.30,-530.70,14.5
0950-0618,Construction and Building Materials,3495.00,2988.23,-506.78,14.5
0010-8545,Coordination Chemistry Reviews,11894.00,10169.37,"-1,724.63",14.5
0010-938X,Corrosion Science,7745.00,6621.98,"-1,123.03",14.5
0261-2194,Crop Protection,3875.00,3313.13,-561.88,14.5
0958-1669,Current Opinion in Biotechnology,5055.00,4322.03,-732.98,14.5
