ISSN,Title,Published List Price,Final Net Price,Difference,ALP
1876-2859,Academic Pediatrics,582.00 ,273.99 ,-308.01,-52.9
0001-4575,Accident Analysis & Prevention,"4,246.00 ","2,523.57 ","-1,722.43",-40.6
1742-7061,Acta Biomaterialia,"2,109.00 ","1,406.00 ",-703.00,-33.3
2173-5735,Acta Otorrinolaringol�gica -English Edition,"1,105.00 ",736.67 ,-368.33,-33.3
0169-409X,Advanced Drug Delivery Reviews,"11,283.00 ","6,705.93 ","-4,577.07",-40.6
1548-5595,Advances in Chronic Kidney Disease,704.00 ,423.33 ,-280.67,-39.9
0741-8329,Alcohol,"3,865.00 ","2,020.16 ","-1,844.84",-47.7
0002-8703,American Heart Journal,"1,769.00 ",916.47 ,-852.53,-48.2
0735-6757,American Journal of Emergency Medicine,"1,798.00 ",795.23 ,"-1,002.77",-55.8
0196-6553,American Journal of Infection Control,"1,193.00 ",639.51 ,-553.49,-46.4
0272-6386,American Journal of Kidney Diseases,"1,863.00 ","1,116.00 ",-747.00,-40.1
0002-9378,American Journal of Obstetrics & Gynecology,"2,229.00 ","1,160.76 ","-1,068.24",-47.9
0002-9394,American Journal of Ophthalmology,"1,964.00 ",877.26 ,"-1,086.74",-55.3
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,"1,238.00 ",619.89 ,-618.11,-49.9
0196-0709,American Journal of Otolaryngology,"1,413.00 ",562.86 ,-850.14,-60.2
0749-3797,American Journal of Preventive Medicine,"1,532.00 ",838.61 ,-693.39,-45.3
1472-0299,Anaesthesia and Intensive Care Medicine,"1,401.00 ",934.00 ,-467.00,-33.3
2352-5568,Anaesthesia Critical Care & Pain Medicine,954.00 ,636.00 ,-318.00,-33.3
1081-1206,"Annals of Allergy, Asthma & Immunology",411.00 ,194.36 ,-216.64,-52.7
0196-0644,Annals of Emergency Medicine,"1,120.00 ",546.20 ,-573.80,-51.2
1047-2797,Annals of Epidemiology,"1,774.00 ",931.32 ,-842.68,-47.5
0923-7534,Annals of Oncology,"3,565.00 ","2,150.00 ","-1,415.00",-39.7
0166-3542,Antiviral Research,"5,260.00 ","3,126.22 ","-2,133.78",-40.6
0195-6663,Appetite,"2,766.00 ","1,643.94 ","-1,122.06",-40.6
0003-9993,Archives of Physical Medicine and Rehabilitation,"1,610.00 ",772.06 ,-837.94,-52.0
0883-9417,Archives of Psychiatric Nursing,741.00 ,316.79 ,-424.21,-57.2
0749-8063,Arthroscopy,"2,086.00 ","1,015.13 ","-1,070.87",-51.3
0021-9150,Atherosclerosis,"9,425.00 ","5,601.66 ","-3,823.34",-40.6
