ISSN,Title,Published List Price,Final Net Price,Difference,ALP
1876-2859,Academic Pediatrics,582.00,273.99,-308.01,-52.9
0001-4575,Accident Analysis & Prevention,4246.00,2523.57,-1722.43,-40.6
1742-7061,Acta Biomaterialia,2109.00,1406.00,-703.00,-33.3
2173-5735,Acta Otorrinolaringol�gica -English Edition,1105.00,736.67,-368.33,-33.3
0169-409X,Advanced Drug Delivery Reviews,11283.00,6705.93,-4577.07,-40.6
1548-5595,Advances in Chronic Kidney Disease,704.00,423.33,-280.67,-39.9
0741-8329,Alcohol,3865.00,2020.16,-1844.84,-47.7
0002-8703,American Heart Journal,1769.00,916.47,-852.53,-48.2
0735-6757,American Journal of Emergency Medicine,1798.00,795.23,-1002.77,-55.8
0196-6553,American Journal of Infection Control,1193.00,639.51,-553.49,-46.4
0272-6386,American Journal of Kidney Diseases,1863.00,1116.00,-747.00,-40.1
0002-9378,American Journal of Obstetrics & Gynecology,2229.00,1160.76,-1068.24,-47.9
0002-9394,American Journal of Ophthalmology,1964.00,877.26,-1086.74,-55.3
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,1238.00,619.89,-618.11,-49.9
0196-0709,American Journal of Otolaryngology,1413.00,562.86,-850.14,-60.2
0749-3797,American Journal of Preventive Medicine,1532.00,838.61,-693.39,-45.3
1472-0299,Anaesthesia and Intensive Care Medicine,1401.00,934.00,-467.00,-33.3
2352-5568,Anaesthesia Critical Care & Pain Medicine,954.00,636.00,-318.00,-33.3
1081-1206,"Annals of Allergy, Asthma & Immunology",411.00,194.36,-216.64,-52.7
0196-0644,Annals of Emergency Medicine,1120.00,546.20,-573.80,-51.2
1047-2797,Annals of Epidemiology,1774.00,931.32,-842.68,-47.5
0923-7534,Annals of Oncology,3565.00,2150.00,-1415.00,-39.7
0166-3542,Antiviral Research,5260.00,3126.22,-2133.78,-40.6
0195-6663,Appetite,2766.00,1643.94,-1122.06,-40.6
0003-9993,Archives of Physical Medicine and Rehabilitation,1610.00,772.06,-837.94,-52.0
0883-9417,Archives of Psychiatric Nursing,741.00,316.79,-424.21,-57.2
0749-8063,Arthroscopy,2086.00,1015.13,-1070.87,-51.3
0021-9150,Atherosclerosis,9425.00,5601.66,-3823.34,-40.6
1352-2310,Atmospheric Environment,13730.00,8160.29,-5569.71,-40.6
0166-4328,Behavioural Brain Research,12665.00,7527.31,-5137.69,-40.6
1521-6934,Best Practice & Research Clinical Obstetrics & Gynaecology,1724.00,1024.64,-699.36,-40.6
1521-6942,Best Practice & Research Clinical Rheumatology,1049.00,623.46,-425.54,-40.6
