ISSN,Title,Published List Price,Final Net Price,Difference,ALP
1355-0306,Science & Justice,643.00,596.73,-46.27,-7.2
0099-2399,Journal of Endodontics,909.00,676.55,-232.45,-25.6
1542-3565,Clinical Gastroenterology and Hepatology,900.00,729.44,-170.56,-19.0
0168-8227,Diabetes Research and Clinical Practice,5658.00,5250.88,-407.12,-7.2
0001-2998,Seminars in Nuclear Medicine,1258.00,948.46,-309.54,-24.6
2210-7762,Cancer Genetics,3955.00,3226.81,-728.19,-18.4
1521-6616,Clinical Immunology,3121.00,2896.43,-224.57,-7.2
0003-3472,Animal Behaviour,1995.00,1851.45,-143.55,-7.2
0093-691X,Theriogenology,4567.00,3731.67,-835.33,-18.3
0304-405X,Journal of Financial Economics,6011.00,5578.48,-432.52,-7.2
0049-089X,Social Science Research,1584.00,1470.02,-113.98,-7.2
0901-5027,International Journal of Oral and Maxillofacial Surgery,1579.00,1465.38,-113.62,-7.2
0883-5403,Journal of Arthroplasty,2232.00,1640.78,-591.22,-26.5
0146-0005,Seminars in Perinatology,1655.00,1170.27,-484.73,-29.3
0955-470X,Transplantation Reviews,1184.00,890.00,-294.00,-24.8
1551-7144,Contemporary Clinical Trials,1941.00,1801.34,-139.66,-7.2
0109-5641,Dental Materials,1352.00,1254.72,-97.28,-7.2
0891-5849,Free Radical Biology & Medicine,6738.00,6253.17,-484.83,-7.2
0378-4320,Animal Reproduction Science,5649.00,5242.53,-406.47,-7.2
0378-1127,Forest Ecology and Management,9637.00,8943.58,-693.42,-7.2
0016-2361,Fuel,7673.00,7120.89,-552.11,-7.2
0261-5177,Tourism Management,3497.00,3245.38,-251.62,-7.2
0165-5728,Journal of Neuroimmunology,8047.00,7467.98,-579.02,-7.2
0165-0270,Journal of Neuroscience Methods,6099.00,5660.15,-438.85,-7.2
1058-2746,Journal of Shoulder and Elbow Surgery,865.00,669.12,-195.88,-22.6
0301-472X,Experimental Hematology,1531.00,1351.23,-179.77,-11.7
0018-506X,Hormones and Behavior,3008.00,2791.56,-216.44,-7.2
0021-9797,Journal of Colloid and Interface Science,10823.00,10044.24,-778.76,-7.2
0165-2478,Immunology Letters,4444.00,4124.23,-319.77,-7.2
0167-5273,International Journal of Cardiology,8288.00,7691.64,-596.36,-7.2
0020-7489,International Journal of Nursing Studies,3531.00,3276.93,-254.07,-7.2
0003-6870,Applied Ergonomics,2499.00,2319.19,-179.81,-7.2
0378-3820,Fuel Processing Technology,5586.00,5184.06,-401.94,-7.2
0167-7799,Trends in Biotechnology,3292.00,3055.13,-236.87,-7.2
0034-4257,Remote Sensing of Environment,7032.00,6526.02,-505.98,-7.2
1525-8610,Journal of the American Medical Directors Association,954.00,734.08,-219.92,-23.1
0196-6553,American Journal of Infection Control,1193.00,998.58,-194.42,-16.3
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,1238.00,967.95,-270.05,-21.8
0022-2828,Journal of Molecular and Cellular Cardiology,6013.00,5580.34,-432.66,-7.2
0022-2836,Journal of Molecular Biology,5204.00,4829.55,-374.45,-7.2
0360-3016,"International Journal of Radiation Oncology, Biology, Physics",5375.00,4616.10,-758.90,-14.1
0005-7916,Journal of Behavior Therapy and Experimental Psychiatry,1897.00,1760.50,-136.50,-7.2
0300-5712,Journal of Dentistry,2933.00,2721.96,-211.04,-7.2
0006-3207,Biological Conservation,6952.00,6451.77,-500.23,-7.2
0169-5347,Trends in Ecology & Evolution,4363.00,4049.06,-313.94,-7.2
0022-4359,Journal of Retailing,776.00,720.16,-55.84,-7.2
1050-1738,Trends in Cardiovascular Medicine,2156.00,1767.00,-389.00,-18.0
0147-0272,Current Problems in Cancer,693.00,545.69,-147.31,-21.3
0146-2806,Current Problems in Cardiology,895.00,697.89,-197.11,-22.0
0022-4804,Journal of Surgical Research,5001.00,4083.40,-917.60,-18.3
0022-3956,Journal of Psychiatric Research,5014.00,4653.22,-360.78,-7.2
0734-9750,Biotechnology Advances,4149.00,3850.46,-298.54,-7.2
0008-6223,Carbon,8666.00,8042.44,-623.56,-7.2
0962-6298,Political Geography,1941.00,1801.34,-139.66,-7.2
0301-4797,Journal of Environmental Management,3580.00,3322.40,-257.60,-7.2
0011-5029,Disease-A-Month,815.00,660.77,-154.23,-18.9
0015-0282,Fertility and Sterility,1905.00,1262.14,-642.86,-33.7
1538-5442,Current Problems in Pediatrics and Adolescent Health Care,686.00,556.83,-129.17,-18.8
0011-3840,Current Problems in Surgery,861.00,686.75,-174.25,-20.2
0143-4179,Neuropeptides,2614.00,2425.91,-188.09,-7.2
0091-7435,Preventive Medicine,2756.00,2557.69,-198.31,-7.2
0040-4039,Tetrahedron Letters,21621.00,20065.29,-1555.71,-7.2
0363-8111,Public Relations Review,1330.00,1234.30,-95.70,-7.2
0166-0462,Regional Science and Urban Economics,2326.00,2158.63,-167.37,-7.2
0954-6111,Respiratory Medicine,2329.00,2161.42,-167.58,-7.2
0952-3278,"Prostaglandins, Leukotrienes & Essential Fatty Acids",5133.00,4763.66,-369.34,-7.2
0009-2509,Chemical Engineering Science,12813.00,11891.05,-921.95,-7.2
0098-3004,Computers & Geosciences,5152.00,4781.29,-370.71,-7.2
0143-6228,Applied Geography,1758.00,1631.50,-126.50,-7.2
0955-0674,Current Opinion in Cell Biology,4103.00,3807.77,-295.23,-7.2
0952-7915,Current Opinion in Immunology,3953.00,3668.56,-284.44,-7.2
0968-0004,Trends in Biochemical Sciences,3462.00,3212.89,-249.11,-7.2
1931-5244,Translational Research,1547.00,1243.58,-303.42,-19.6
0022-3913,Journal of Prosthetic Dentistry,1376.00,1090.45,-285.55,-20.8
